Team1,Team2,Winner,RealOdds,LoungeOdds,Difference,Risk,BetSize,EVTeam,Win
Fnatic,NiP,Fnatic,0.55,0.67,-0.12,HIGH RISK,LOW BET,NiP,LOSS
NiP,TSM,TSM,0.5,0.61,-0.11,HIGH RISK,LOW BET,TSM,WIN
Cloud9,Dignitas,Cloud9,0.6,0.67,-0.07,HIGH RISK,LOW BET,Dignitas,LOSS
ROCCAT,Imm,Imm,0.55,0.61,-0.06,HIGH RISK,LOW BET,Imm,WIN
G2,E-Frag,G2,0.55,0.56,-0.01,HIGH RISK,LOW BET,E-Frag,LOSS
Method,Coast,Method,0.5,0.66,-0.16,HIGH RISK,LOW BET,Coast,LOSS
LG,coL,LG,0.6,0.81,-0.21,MEDIUM RISK,AVG BET,coL,LOSS
FSid3,CLG,CLG,0.45,0.65,-0.2,HIGH RISK,LOW BET,CLG,WIN
FSid3,CLG,CLG,0.45,0.65,-0.2,HIGH RISK,LOW BET,CLG,WIN
CW,CSGL,CW,0.45,0.44,0.01,HIGH RISK,LOW BET,CW,WIN
TSM,VP,TSM,0.5,0.53,-0.03,HIGH RISK,LOW BET,VP,LOSS
Renegades,Liquid,Liquid,0.4,0.34,0.06,MEDIUM RISK,AVG BET,Renegades,LOSS
mouz,WinterFox,mouz,0.55,0.88,-0.33,HIGH RISK,ICB BET,WinterFox,LOSS
coL,NME,NME,0.6,0.73,-0.13,MEDIUM RISK,AVG BET,NME,WIN
LG,3sUP,LG,0.75,0.8,-0.05,LOW RISK,HIGH BET,3sUP,LOSS
Conquest,Coast,Conquest,0.6,0.84,-0.24,MEDIUM RISK,AVG BET,Coast,LOSS
E-Frag,SK,E-Frag,0.45,0.67,-0.22,HIGH RISK,LOW BET,SK,LOSS
E-Frag,SK,E-Frag,0.45,0.67,-0.22,HIGH RISK,LOW BET,SK,LOSS
mouz,Liquid,mouz,0.5,0.64,-0.14,HIGH RISK,LOW BET,Liquid,LOSS
WinterFox,Renegades,Renegades,0.55,0.36,0.19,HIGH RISK,LOW BET,WinterFox,LOSS
Titan,SR,Titan,0.9,0.95,-0.05,LOW RISK,HIGH BET,SR,LOSS
Titan,SR,Titan,0.9,0.95,-0.05,LOW RISK,HIGH BET,SR,LOSS
Vexed,HR,HR,0.4,0.17,0.23,HIGH RISK,LOW BET,Vexed,LOSS
Vexed,HR,HR,0.4,0.17,0.23,HIGH RISK,LOW BET,Vexed,LOSS
Titan,HR,Titan,0.55,0.72,-0.17,HIGH RISK,AVG BET,HR,LOSS
SR,Vexed,Vexed,0.2,0.18,0.02,LOW RISK,HIGH BET,SR,LOSS
Dignitas,Imm,Dignitas,0.65,0.89,-0.24,MEDIUM RISK,AVG BET,Imm,LOSS
FSid3,CW,FSid3,0.55,0.73,-0.18,HIGH RISK,LOW BET,CW,LOSS
Liquid,Renegades,Liquid,0.55,0.75,-0.2,HIGH RISK,LOW BET,Renegades,LOSS
Fnatic,NiP,Fnatic,0.55,0.83,-0.28,HIGH RISK,ICB BET,NiP,LOSS
VP,EnVyUs,EnVyUs,0.45,0.33,0.12,HIGH RISK,LOW BET,VP,LOSS
HR,Vexed,Vexed,0.6,0.9,-0.3,HIGH RISK,LOW BET,Vexed,WIN
HR,Vexed,Vexed,0.6,0.9,-0.3,HIGH RISK,LOW BET,Vexed,WIN
Fnatic,EnVyUs,EnVyUs,0.55,0.71,-0.16,HIGH RISK,LOW BET,EnVyUs,WIN
Method,Conquest,Conquest,0.4,0.18,0.22,MEDIUM RISK,AVG BET,Method,LOSS
UK,Russia,Russia,0.3,0.2,0.1,LOW RISK,AVG BET,UK,LOSS
UK,Russia,Russia,0.3,0.2,0.1,LOW RISK,AVG BET,UK,LOSS
Germany,Russia,Russia,0.4,0.25,0.15,MEDIUM RISK,AVG BET,Germany,LOSS
Germany,Russia,Russia,0.4,0.25,0.15,MEDIUM RISK,AVG BET,Germany,LOSS
Germany,Russia,Russia,0.4,0.25,0.15,MEDIUM RISK,AVG BET,Germany,LOSS
Norway,Sweden,Sweden,0.35,0.31,0.04,MEDIUM RISK,AVG BET,Norway,LOSS
Norway,Sweden,Sweden,0.35,0.31,0.04,MEDIUM RISK,AVG BET,Norway,LOSS
Vexed,Reason,Reason,0.6,0.72,-0.12,MEDIUM RISK,AVG BET,Reason,WIN
mouz,G2,G2,0.5,0.36,0.14,HIGH RISK,LOW BET,mouz,LOSS
Conquest,LG,LG,0.4,0.31,0.09,MEDIUM RISK,AVG BET,Conquest,LOSS
CLG,NME,CLG,0.7,0.93,-0.23,MEDIUM RISK,ICB BET,NME,LOSS
TSM,EnVyUs,TSM,0.45,0.35,0.1,HIGH RISK,LOW BET,TSM,WIN
FSid3,mouz,mouz,0.45,0.4,0.05,HIGH RISK,LOW BET,FSid3,LOSS
CSGL,Reason,Reason,0.55,0.68,-0.13,HIGH RISK,LOW BET,Reason,WIN
NaVi,VP,NaVi,0.45,0.38,0.07,HIGH RISK,LOW BET,NaVi,WIN
NiP,HR,NiP,0.6,0.72,-0.12,MEDIUM RISK,AVG BET,HR,LOSS
EnVyUs,VP,VP,0.45,0.52,-0.07,HIGH RISK,LOW BET,VP,WIN
EnVyUs,VP,VP,0.45,0.52,-0.07,HIGH RISK,LOW BET,VP,WIN
NiP,TSM,TSM,0.5,0.37,0.13,HIGH RISK,LOW BET,NiP,LOSS
NiP,G2,G2,0.6,0.7,-0.1,MEDIUM RISK,AVG BET,G2,WIN
NiP,G2,G2,0.6,0.7,-0.1,MEDIUM RISK,AVG BET,G2,WIN
HR,VP,VP,0.3,0.19,0.11,MEDIUM RISK,AVG BET,HR,LOSS
Titan,G2,G2,0.55,0.54,0.01,HIGH RISK,LOW BET,G2,WIN
SK,VP,VP,0.3,0.16,0.14,LOW RISK,HIGH BET,SK,LOSS
SK,Titan,Titan,0.35,0.15,0.2,MEDIUM RISK,AVG BET,SK,LOSS
Penta,HR,null,0.4,0.25,0.15,MEDIUM RISK,AVG BET,Penta,TIE
mouz,Dignitas,Dignitas,0.5,0.65,-0.15,HIGH RISK,LOW BET,Dignitas,WIN
Coast,LG,LG,0.4,0.06,0.34,MEDIUM RISK,AVG BET,Coast,LOSS
Coast,LG,LG,0.4,0.06,0.34,MEDIUM RISK,AVG BET,Coast,LOSS
3sUP,Method,Method,0.45,0.46,-0.01,HIGH RISK,LOW BET,3sUP,LOSS
3sUP,Method,Method,0.45,0.46,-0.01,HIGH RISK,LOW BET,3sUP,LOSS
3sUP,Method,Method,0.45,0.46,-0.01,HIGH RISK,LOW BET,3sUP,LOSS
3sUP,coL,coL,0.3,0.45,-0.15,MEDIUM RISK,LOW BET,3sUP,LOSS
Cloud9,WinterFox,null,0.55,0.87,-0.32,HIGH RISK,ICB BET,WinterFox,TIE
Fnatic,VP,VP,0.55,0.74,-0.19,HIGH RISK,ICB BET,VP,WIN
NaVi,EnVyUs,NaVi,0.45,0.36,0.09,HIGH RISK,LOW BET,NaVi,WIN
TSM,G2,TSM,0.55,0.71,-0.16,HIGH RISK,ICB BET,G2,LOSS
VP,EnVyUs,EnVyUs,0.55,0.56,-0.01,HIGH RISK,LOW BET,EnVyUs,WIN
EnVyUs,HR,EnVyUs,0.65,0.82,-0.17,MEDIUM RISK,ICB BET,HR,LOSS
EnVyUs,HR,EnVyUs,0.65,0.82,-0.17,MEDIUM RISK,ICB BET,HR,LOSS
Titan,VP,Titan,0.45,0.39,0.06,HIGH RISK,LOW BET,Titan,WIN
VP,TSM,TSM,0.55,0.41,0.14,HIGH RISK,LOW BET,VP,LOSS
Dignitas,Titan,Dignitas,0.45,0.34,0.11,HIGH RISK,LOW BET,Dignitas,WIN
Titan,HR,HR,0.5,0.58,-0.08,HIGH RISK,LOW BET,HR,WIN
CSGL,FSid3,FSid3,0.45,0.29,0.16,HIGH RISK,LOW BET,CSGL,LOSS
CLG,3sUP,CLG,0.7,0.88,-0.18,LOW RISK,HIGH BET,3sUP,LOSS
CLG,3sUP,CLG,0.7,0.88,-0.18,LOW RISK,HIGH BET,3sUP,LOSS
coL,LG,null,0.4,0.23,0.17,MEDIUM RISK,AVG BET,coL,TIE
CLG,Method,CLG,0.7,0.89,-0.19,LOW RISK,HIGH BET,Method,LOSS
Cloud9,WinterFox,Cloud9,0.6,0.86,-0.26,HIGH RISK,LOW BET,WinterFox,LOSS
Penta,SK,Penta,0.5,0.38,0.12,HIGH RISK,LOW BET,Penta,WIN
NiP,HR,HR,0.6,0.71,-0.11,MEDIUM RISK,AVG BET,HR,WIN
FSid3,Vexed,null,0.55,0.73,-0.18,HIGH RISK,LOW BET,Vexed,TIE
SK,EnVyUs,EnVyUs,0.3,0.15,0.15,LOW RISK,HIGH BET,SK,LOSS
SK,EnVyUs,EnVyUs,0.3,0.15,0.15,LOW RISK,HIGH BET,SK,LOSS
Dignitas,SK,Dignitas,0.6,0.76,-0.16,MEDIUM RISK,AVG BET,SK,LOSS
Dignitas,EnVyUs,EnVyUs,0.4,0.31,0.09,HIGH RISK,LOW BET,Dignitas,LOSS
Liquid,VP,VP,0.4,0.14,0.26,HIGH RISK,ICB BET,Liquid,LOSS
Fnatic,TSM,TSM,0.55,0.61,-0.06,HIGH RISK,LOW BET,TSM,WIN
coL,NME,null,0.7,0.63,0.07,MEDIUM RISK,ICB BET,NME,TIE
Cloud9,LG,Cloud9,0.6,0.69,-0.09,HIGH RISK,LOW BET,LG,LOSS
LG,Conquest,LG,0.55,0.59,-0.04,HIGH RISK,LOW BET,Conquest,LOSS
Coast,Cloud9,Cloud9,0.25,0.11,0.14,LOW RISK,HIGH BET,Coast,LOSS
E-Frag,SK,SK,0.5,0.8,-0.3,HIGH RISK,LOW BET,SK,WIN
E-Frag,SK,SK,0.5,0.8,-0.3,HIGH RISK,LOW BET,SK,WIN
E-Frag,SK,SK,0.5,0.8,-0.3,HIGH RISK,LOW BET,SK,WIN
Liquid,Fnatic,Fnatic,0.3,0.1,0.2,MEDIUM RISK,ICB BET,Liquid,LOSS
VP,TSM,TSM,0.45,0.36,0.09,HIGH RISK,LOW BET,VP,LOSS
Fnatic,VP,VP,0.5,0.6,-0.1,HIGH RISK,LOW BET,VP,WIN
Fnatic,VP,VP,0.5,0.6,-0.1,HIGH RISK,LOW BET,VP,WIN
TSM,VP,TSM,0.6,0.71,-0.11,HIGH RISK,LOW BET,VP,LOSS
HR,E-Frag,null,0.5,0.62,-0.12,HIGH RISK,LOW BET,E-Frag,TIE
E-Frag,Titan,Titan,0.4,0.28,0.12,MEDIUM RISK,AVG BET,E-Frag,LOSS
NME,Conquest,Conquest,0.35,0.18,0.17,MEDIUM RISK,AVG BET,NME,LOSS
Conquest,WinterFox,Conquest,0.55,0.83,-0.28,HIGH RISK,LOW BET,WinterFox,LOSS
WinterFox,LG,LG,0.4,0.06,0.34,MEDIUM RISK,AVG BET,WinterFox,LOSS
WinterFox,LG,LG,0.4,0.06,0.34,MEDIUM RISK,AVG BET,WinterFox,LOSS
Dignitas,CSGL,Dignitas,0.6,0.8,-0.2,MEDIUM RISK,AVG BET,CSGL,LOSS
E-Frag,FSid3,FSid3,0.4,0.4,0,MEDIUM RISK,AVG BET,E-Frag,LOSS
E-Frag,FSid3,FSid3,0.4,0.4,0,MEDIUM RISK,AVG BET,E-Frag,LOSS
E-Frag,FSid3,FSid3,0.4,0.4,0,MEDIUM RISK,AVG BET,E-Frag,LOSS
Penta,HR,HR,0.55,0.28,0.27,MEDIUM RISK,LOW BET,Penta,LOSS
NaVi,Vexed,NaVi,0.7,0.91,-0.21,MEDIUM RISK,ICB BET,Vexed,LOSS
WinterFox,CLG,null,0.25,0.09,0.16,LOW RISK,HIGH BET,WinterFox,TIE
SK,CSGL,SK,0.45,0.67,-0.22,HIGH RISK,LOW BET,CSGL,LOSS
HR,FSid3,HR,0.45,0.45,0,HIGH RISK,LOW BET,HR,WIN
G2,Dignitas,null,0.5,0.7,-0.2,HIGH RISK,LOW BET,Dignitas,TIE
Titan,Fnatic,Titan,0.4,0.24,0.16,HIGH RISK,LOW BET,Titan,WIN
TSM,HR,TSM,0.6,0.77,-0.17,MEDIUM RISK,ICB BET,HR,LOSS
SK,E-Frag,E-Frag,0.55,0.37,0.18,HIGH RISK,LOW BET,SK,LOSS
Fnatic,NiP,Fnatic,0.55,0.69,-0.14,HIGH RISK,LOW BET,NiP,LOSS
EnVyUs,G2,EnVyUs,0.6,0.7,-0.1,HIGH RISK,LOW BET,G2,LOSS
NiP,TSM,TSM,0.45,0.34,0.11,HIGH RISK,LOW BET,NiP,LOSS
HR,NiP,HR,0.4,0.33,0.07,MEDIUM RISK,AVG BET,HR,WIN
HR,NiP,HR,0.4,0.33,0.07,MEDIUM RISK,AVG BET,HR,WIN
mouz,Dignitas,Dignitas,0.45,0.45,0,HIGH RISK,LOW BET,mouz,LOSS
Vexed,Penta,Vexed,0.5,0.45,0.05,HIGH RISK,LOW BET,Vexed,WIN
Liquid,LG,null,0.55,0.58,-0.03,HIGH RISK,LOW BET,LG,TIE
Titan,TSM,TSM,0.4,0.22,0.18,MEDIUM RISK,ICB BET,Titan,LOSS
G2,HR,null,0.5,0.47,0.03,HIGH RISK,LOW BET,G2,TIE
Titan,G2,Titan,0.55,0.61,-0.06,HIGH RISK,LOW BET,G2,LOSS
Titan,NiP,NiP,0.45,0.39,0.06,HIGH RISK,LOW BET,Titan,LOSS
Liquid,Method,Liquid,0.7,0.82,-0.12,LOW RISK,AVG BET,Method,LOSS
Liquid,Method,Liquid,0.7,0.82,-0.12,LOW RISK,AVG BET,Method,LOSS
NME,Method,NME,0.55,0.6,-0.05,HIGH RISK,LOW BET,Method,LOSS
HR,Dignitas,Dignitas,0.45,0.31,0.14,HIGH RISK,LOW BET,HR,LOSS
SK,Fnatic,Fnatic,0.25,0.13,0.12,LOW RISK,HIGH BET,SK,LOSS
Liquid,Coast,Liquid,0.65,0.94,-0.29,LOW RISK,HIGH BET,Coast,LOSS
Dignitas,TSM,TSM,0.4,0.15,0.25,MEDIUM RISK,ICB BET,Dignitas,LOSS
USA,France,France,0.4,0.11,0.29,MEDIUM RISK,AVG BET,USA,LOSS
Poland,Netherlands,Poland,0.7,0.68,0.02,MEDIUM RISK,AVG BET,Netherlands,LOSS
Poland,Netherlands,Poland,0.7,0.68,0.02,MEDIUM RISK,AVG BET,Netherlands,LOSS
France,Poland,Poland,0.6,0.89,-0.29,MEDIUM RISK,AVG BET,Poland,WIN
USA,Netherlands,Netherlands,0.6,0.62,-0.02,MEDIUM RISK,AVG BET,Netherlands,WIN
Norway,Canada,Canada,0.45,0.39,0.06,HIGH RISK,LOW BET,Norway,LOSS
Norway,Canada,Canada,0.45,0.39,0.06,HIGH RISK,LOW BET,Norway,LOSS
Dignitas,SK,Dignitas,0.65,0.86,-0.21,MEDIUM RISK,AVG BET,SK,LOSS
France,Netherlands,France,0.6,0.89,-0.29,MEDIUM RISK,AVG BET,Netherlands,LOSS
Belgium,Norway,Norway,0.55,0.66,-0.11,HIGH RISK,LOW BET,Norway,WIN
Belgium,Norway,Norway,0.55,0.66,-0.11,HIGH RISK,LOW BET,Norway,WIN
Canada,Sweden,Sweden,0.45,0.41,0.04,MEDIUM RISK,LOW BET,Canada,LOSS
Russia,Norway,Russia,0.6,0.84,-0.24,MEDIUM RISK,AVG BET,Norway,LOSS
Germany,France,null,0.45,0.2,0.25,HIGH RISK,ICB BET,Germany,TIE
Poland,Sweden,Poland,0.45,0.43,0.02,HIGH RISK,LOW BET,Poland,WIN
Russia,France,France,0.4,0.18,0.22,HIGH RISK,ICB BET,Russia,LOSS
Russia,France,France,0.4,0.18,0.22,HIGH RISK,ICB BET,Russia,LOSS
Poland,France,France,0.35,0.2,0.15,MEDIUM RISK,AVG BET,Poland,LOSS
Liquid,LG,Liquid,0.55,0.66,-0.11,HIGH RISK,LOW BET,LG,LOSS
CSGL,Penta,null,0.45,0.43,0.02,HIGH RISK,LOW BET,CSGL,TIE
CSGL,Penta,null,0.45,0.43,0.02,HIGH RISK,LOW BET,CSGL,TIE
EnVyUs,Titan,Titan,0.6,0.77,-0.17,MEDIUM RISK,AVG BET,Titan,WIN
Penta,E-Frag,E-Frag,0.55,0.31,0.24,HIGH RISK,LOW BET,Penta,LOSS
Fnatic,EnVyUs,EnVyUs,0.55,0.6,-0.05,HIGH RISK,LOW BET,EnVyUs,WIN
Reason,SK,null,0.4,0.26,0.14,HIGH RISK,LOW BET,Reason,TIE
E-Frag,NaVi,NaVi,0.3,0.22,0.08,MEDIUM RISK,AVG BET,E-Frag,LOSS
G2,TSM,TSM,0.4,0.22,0.18,MEDIUM RISK,ICB BET,G2,LOSS
Dignitas,NaVi,Dignitas,0.45,0.29,0.16,MEDIUM RISK,LOW BET,Dignitas,WIN
mouz,Titan,Titan,0.5,0.47,0.03,HIGH RISK,LOW BET,mouz,LOSS
Fnatic,Titan,Fnatic,0.6,0.65,-0.05,MEDIUM RISK,AVG BET,Titan,LOSS
coL,WinterFox,coL,0.55,0.77,-0.22,HIGH RISK,LOW BET,WinterFox,LOSS
NME,WinterFox,NME,0.45,0.82,-0.37,HIGH RISK,LOW BET,WinterFox,LOSS
TSM,Fnatic,TSM,0.55,0.6,-0.05,HIGH RISK,LOW BET,Fnatic,LOSS
CSGL,FSid3,FSid3,0.4,0.2,0.2,HIGH RISK,AVG BET,CSGL,LOSS
Titan,mouz,mouz,0.55,0.66,-0.11,HIGH RISK,LOW BET,mouz,WIN
Titan,mouz,mouz,0.55,0.66,-0.11,HIGH RISK,LOW BET,mouz,WIN
Titan,mouz,mouz,0.55,0.66,-0.11,HIGH RISK,LOW BET,mouz,WIN
mouz,E-Frag,null,0.6,0.79,-0.19,MEDIUM RISK,AVG BET,E-Frag,TIE
CSGL,E-Frag,null,0.45,0.27,0.18,HIGH RISK,LOW BET,CSGL,TIE
TSM,Titan,TSM,0.6,0.79,-0.19,MEDIUM RISK,AVG BET,Titan,LOSS
TSM,Titan,TSM,0.6,0.79,-0.19,HIGH RISK,ICB BET,Titan,LOSS
NaVi,EnVyUs,NaVi,0.45,0.32,0.13,HIGH RISK,LOW BET,NaVi,WIN
CSGL,Reason,null,0.55,0.63,-0.08,HIGH RISK,LOW BET,Reason,TIE
HR,Fnatic,HR,0.4,0.31,0.09,HIGH RISK,ICB BET,HR,WIN
NiP,EnVyUs,null,0.45,0.3,0.15,HIGH RISK,LOW BET,NiP,TIE
Titan,NaVi,Titan,0.5,0.38,0.12,MEDIUM RISK,LOW BET,Titan,WIN
LG,Conquest,LG,0.6,0.74,-0.14,MEDIUM RISK,AVG BET,Conquest,LOSS
Penta,NaVi,Penta,0.4,0.23,0.17,MEDIUM RISK,LOW BET,Penta,WIN
Fnatic,EnVyUs,EnVyUs,0.45,0.43,0.02,HIGH RISK,LOW BET,Fnatic,LOSS
Fnatic,EnVyUs,EnVyUs,0.45,0.43,0.02,HIGH RISK,LOW BET,Fnatic,LOSS
HR,EnVyUs,HR,0.4,0.24,0.16,HIGH RISK,AVG BET,HR,WIN
WinterFox,Liquid,Liquid,0.2,0.04,0.16,MEDIUM RISK,AVG BET,WinterFox,LOSS
LG,WinterFox,LG,0.7,0.91,-0.21,MEDIUM RISK,AVG BET,WinterFox,LOSS
Liquid,coL,Liquid,0.6,0.8,-0.2,MEDIUM RISK,AVG BET,coL,LOSS
Cloud9,LG,Cloud9,0.5,0.64,-0.14,HIGH RISK,LOW BET,LG,LOSS
Fnatic,Vexed,Fnatic,0.75,0.93,-0.18,LOW RISK,HIGH BET,Vexed,LOSS
VP,NaVi,VP,0.55,0.63,-0.08,HIGH RISK,LOW BET,NaVi,LOSS
VP,NaVi,VP,0.55,0.63,-0.08,HIGH RISK,LOW BET,NaVi,LOSS
FSid3,Dignitas,Dignitas,0.45,0.31,0.14,HIGH RISK,LOW BET,FSid3,LOSS
mouz,CSGL,CSGL,0.6,0.9,-0.3,MEDIUM RISK,AVG BET,CSGL,WIN
HR,NiP,NiP,0.45,0.4,0.05,HIGH RISK,LOW BET,HR,LOSS
CSGL,FSid3,CSGL,0.4,0.27,0.13,MEDIUM RISK,AVG BET,CSGL,WIN
TSM,NiP,NiP,0.55,0.69,-0.14,HIGH RISK,LOW BET,NiP,WIN
Reason,FSid3,FSid3,0.35,0.24,0.11,MEDIUM RISK,AVG BET,Reason,LOSS
G2,CSGL,null,0.7,0.79,-0.09,MEDIUM RISK,AVG BET,CSGL,TIE
Penta,Titan,Titan,0.4,0.13,0.27,MEDIUM RISK,AVG BET,Penta,LOSS
Liquid,CLG,Liquid,0.55,0.69,-0.14,HIGH RISK,LOW BET,CLG,LOSS
coL,Cloud9,Cloud9,0.4,0.19,0.21,MEDIUM RISK,AVG BET,coL,LOSS
Cloud9,WinterFox,Cloud9,0.7,0.94,-0.24,MEDIUM RISK,AVG BET,WinterFox,LOSS
LG,coL,LG,0.6,0.75,-0.15,HIGH RISK,LOW BET,coL,LOSS
Titan,TSM,TSM,0.4,0.35,0.05,HIGH RISK,ICB BET,Titan,LOSS
TSM,mouz,TSM,0.6,0.81,-0.21,HIGH RISK,LOW BET,mouz,LOSS
TSM,mouz,TSM,0.6,0.81,-0.21,HIGH RISK,LOW BET,mouz,LOSS
Dignitas,Fnatic,Fnatic,0.4,0.33,0.07,HIGH RISK,LOW BET,Dignitas,LOSS
mouz,Dignitas,Dignitas,0.45,0.38,0.07,HIGH RISK,LOW BET,mouz,LOSS
NiP,Dignitas,NiP,0.55,0.84,-0.29,HIGH RISK,ICB BET,Dignitas,LOSS
Dignitas,EnVyUs,EnVyUs,0.4,0.14,0.26,HIGH RISK,ICB BET,Dignitas,LOSS
Penta,TSM,TSM,0.3,0.07,0.23,LOW RISK,AVG BET,Penta,LOSS
SK,TSM,null,0.3,0.09,0.21,LOW RISK,AVG BET,SK,TIE
Penta,EnVyUs,Penta,0.4,0.06,0.34,MEDIUM RISK,ICB BET,Penta,WIN
NiP,Penta,NiP,0.6,0.84,-0.24,LOW RISK,AVG BET,Penta,LOSS
Imm,Renegades,Renegades,0.5,0.4,0.1,HIGH RISK,LOW BET,Imm,LOSS
E-Frag,CSGL,null,0.5,0.66,-0.16,HIGH RISK,LOW BET,CSGL,TIE
Reason,SK,Reason,0.45,0.23,0.22,HIGH RISK,LOW BET,Reason,WIN
FSid3,CSGL,FSid3,0.55,0.53,0.02,HIGH RISK,LOW BET,CSGL,LOSS
EnVyUs,Dignitas,EnVyUs,0.6,0.91,-0.31,MEDIUM RISK,AVG BET,Dignitas,LOSS
TSM,HR,null,0.6,0.89,-0.29,MEDIUM RISK,AVG BET,HR,TIE
HR,Penta,HR,0.6,0.7,-0.1,HIGH RISK,LOW BET,Penta,LOSS
VP,EnVyUs,EnVyUs,0.5,0.33,0.17,HIGH RISK,LOW BET,VP,LOSS
VP,EnVyUs,EnVyUs,0.5,0.33,0.17,HIGH RISK,LOW BET,VP,LOSS
NiP,VP,VP,0.5,0.65,-0.15,HIGH RISK,LOW BET,VP,WIN
VP,Penta,Penta,0.65,0.84,-0.19,MEDIUM RISK,AVG BET,Penta,WIN
NaVi,TSM,TSM,0.45,0.21,0.24,HIGH RISK,ICB BET,NaVi,LOSS
TSM,Dignitas,TSM,0.6,0.84,-0.24,MEDIUM RISK,ICB BET,Dignitas,LOSS
VP,Fnatic,Fnatic,0.5,0.56,-0.06,HIGH RISK,LOW BET,Fnatic,WIN
coL,WinterFox,WinterFox,0.7,0.76,-0.06,MEDIUM RISK,AVG BET,WinterFox,WIN
Conquest,WinterFox,Conquest,0.7,0.77,-0.07,MEDIUM RISK,AVG BET,WinterFox,LOSS
NaVi,Vexed,NaVi,0.6,0.89,-0.29,MEDIUM RISK,LOW BET,Vexed,LOSS
Titan,TSM,TSM,0.4,0.19,0.21,HIGH RISK,ICB BET,Titan,LOSS
Reason,CSGL,CSGL,0.45,0.37,0.08,HIGH RISK,LOW BET,Reason,LOSS
Reason,CSGL,CSGL,0.45,0.37,0.08,HIGH RISK,LOW BET,Reason,LOSS
VP,Fnatic,Fnatic,0.5,0.46,0.04,HIGH RISK,LOW BET,VP,LOSS
HR,SK,HR,0.6,0.78,-0.18,MEDIUM RISK,LOW BET,SK,LOSS
NaVi,Dignitas,NaVi,0.55,0.74,-0.19,HIGH RISK,ICB BET,Dignitas,LOSS
SK,Dignitas,Dignitas,0.4,0.17,0.23,MEDIUM RISK,AVG BET,SK,LOSS
Dignitas,HR,Dignitas,0.5,0.58,-0.08,HIGH RISK,LOW BET,HR,LOSS
WinterFox,Cloud9,Cloud9,0.35,0.09,0.26,MEDIUM RISK,AVG BET,WinterFox,LOSS
WinterFox,Cloud9,Cloud9,0.35,0.09,0.26,MEDIUM RISK,AVG BET,WinterFox,LOSS
G2,Fnatic,Fnatic,0.4,0.28,0.12,HIGH RISK,ICB BET,G2,LOSS
G2,HR,G2,0.45,0.43,0.02,HIGH RISK,LOW BET,G2,WIN
Titan,Fnatic,Titan,0.45,0.27,0.18,HIGH RISK,ICB BET,Titan,WIN
TSM,EnVyUs,EnVyUs,0.5,0.64,-0.14,HIGH RISK,LOW BET,EnVyUs,WIN
VP,TSM,TSM,0.5,0.41,0.09,HIGH RISK,LOW BET,VP,LOSS
Dignitas,Penta,Dignitas,0.6,0.75,-0.15,HIGH RISK,LOW BET,Penta,LOSS
HR,VP,VP,0.45,0.32,0.13,HIGH RISK,LOW BET,HR,LOSS
Penta,TSM,TSM,0.3,0.12,0.18,MEDIUM RISK,AVG BET,Penta,LOSS
LG,coL,null,0.5,0.59,-0.09,HIGH RISK,LOW BET,coL,TIE
Cloud9,Liquid,null,0.55,0.55,0,HIGH RISK,LOW BET,Liquid,TIE
G2,Titan,G2,0.45,0.39,0.06,HIGH RISK,LOW BET,G2,WIN
EnVyUs,Fnatic,EnVyUs,0.5,0.6,-0.1,HIGH RISK,LOW BET,Fnatic,LOSS
TSM,VP,VP,0.55,0.68,-0.13,HIGH RISK,LOW BET,VP,WIN
G2,NiP,NiP,0.4,0.4,0,HIGH RISK,LOW BET,G2,LOSS
Fnatic,HR,Fnatic,0.6,0.71,-0.11,HIGH RISK,LOW BET,HR,LOSS
Dignitas,FSid3,Dignitas,0.6,0.66,-0.06,HIGH RISK,LOW BET,FSid3,LOSS
Vexed,SK,null,0.5,0.47,0.03,HIGH RISK,LOW BET,Vexed,TIE
mouz,VP,null,0.4,0.41,-0.01,MEDIUM RISK,AVG BET,mouz,TIE
Liquid,Cloud9,Liquid,0.5,0.43,0.07,HIGH RISK,LOW BET,Liquid,WIN
Vexed,E-Frag,E-Frag,0.5,0.24,0.26,HIGH RISK,ICB BET,Vexed,LOSS
Penta,VP,VP,0.3,0.13,0.17,MEDIUM RISK,AVG BET,Penta,LOSS
NiP,NaVi,NaVi,0.55,0.61,-0.06,HIGH RISK,LOW BET,NaVi,WIN
NaVi,NiP,NaVi,0.55,0.66,-0.11,HIGH RISK,LOW BET,NiP,LOSS
SK,Penta,SK,0.45,0.43,0.02,HIGH RISK,LOW BET,SK,WIN
SK,Penta,SK,0.45,0.43,0.02,HIGH RISK,LOW BET,SK,WIN
Fnatic,TSM,Fnatic,0.5,0.42,0.08,HIGH RISK,LOW BET,Fnatic,WIN
Titan,SK,Titan,0.7,0.85,-0.15,MEDIUM RISK,AVG BET,SK,LOSS
CLG,coL,coL,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,coL,WIN
NME,Liquid,Liquid,0.4,0.05,0.35,LOW RISK,HIGH BET,NME,LOSS
CLG,Conquest,null,0.55,0.53,0.02,HIGH RISK,LOW BET,Conquest,TIE
CSGL,FSid3,FSid3,0.45,0.3,0.15,HIGH RISK,LOW BET,CSGL,LOSS
HR,SK,SK,0.6,0.73,-0.13,MEDIUM RISK,AVG BET,SK,WIN
HR,SK,SK,0.6,0.73,-0.13,MEDIUM RISK,AVG BET,SK,WIN
